,asin,data_date,ordered_units
227,B071D7BTTW,2020-07-16,0
228,B071D7BTTW,2020-07-17,0
229,B071D7BTTW,2020-07-18,2
230,B071D7BTTW,2020-07-19,4
231,B071D7BTTW,2020-07-20,0
232,B071D7BTTW,2020-07-21,2
233,B071D7BTTW,2020-07-22,0
234,B071D7BTTW,2020-07-23,3
235,B071D7BTTW,2020-07-24,1
236,B071D7BTTW,2020-07-25,1
237,B071D7BTTW,2020-07-26,0
238,B071D7BTTW,2020-07-27,0
239,B071D7BTTW,2020-07-28,0
240,B071D7BTTW,2020-07-29,1
241,B071D7BTTW,2020-07-30,0
242,B071D7BTTW,2020-07-31,0
243,B071D7BTTW,2020-08-01,0
244,B071D7BTTW,2020-08-02,0
245,B071D7BTTW,2020-08-03,0
246,B071D7BTTW,2020-08-04,1
247,B071D7BTTW,2020-08-05,1
248,B071D7BTTW,2020-08-06,2
249,B071D7BTTW,2020-08-07,0
250,B071D7BTTW,2020-08-08,0
251,B071D7BTTW,2020-08-09,0
252,B071D7BTTW,2020-08-10,0
253,B071D7BTTW,2020-08-11,0
254,B071D7BTTW,2020-08-12,0
255,B071D7BTTW,2020-08-13,1
256,B071D7BTTW,2020-08-14,0
257,B071D7BTTW,2020-08-15,0
258,B071D7BTTW,2020-08-16,0
259,B071D7BTTW,2020-08-17,0
260,B071D7BTTW,2020-08-18,1
261,B071D7BTTW,2020-08-19,0
262,B071D7BTTW,2020-08-20,0
263,B071D7BTTW,2020-08-21,1
264,B071D7BTTW,2020-08-22,0
265,B071D7BTTW,2020-08-23,1
266,B071D7BTTW,2020-08-24,0
267,B071D7BTTW,2020-08-25,0
268,B071D7BTTW,2020-08-26,0
269,B071D7BTTW,2020-08-27,0
270,B071D7BTTW,2020-08-28,1
271,B071D7BTTW,2020-08-29,1
272,B071D7BTTW,2020-08-30,0
273,B071D7BTTW,2020-08-31,0
274,B071D7BTTW,2020-09-01,0
275,B071D7BTTW,2020-09-02,0
276,B071D7BTTW,2020-09-03,2
277,B071D7BTTW,2020-09-04,0
278,B071D7BTTW,2020-09-05,0
279,B071D7BTTW,2020-09-06,1
280,B071D7BTTW,2020-09-07,0
281,B071D7BTTW,2020-09-08,1
282,B071D7BTTW,2020-09-09,2
283,B071D7BTTW,2020-09-10,1
284,B071D7BTTW,2020-09-11,0
285,B071D7BTTW,2020-09-12,0
286,B071D7BTTW,2020-09-13,0
287,B071D7BTTW,2020-09-14,1
288,B071D7BTTW,2020-09-15,0
289,B071D7BTTW,2020-09-16,1
290,B071D7BTTW,2020-09-17,1
291,B071D7BTTW,2020-09-18,1
292,B071D7BTTW,2020-09-19,0
293,B071D7BTTW,2020-09-20,0
294,B071D7BTTW,2020-09-21,1
295,B071D7BTTW,2020-09-22,2
296,B071D7BTTW,2020-09-23,0
297,B071D7BTTW,2020-09-24,1
298,B071D7BTTW,2020-09-25,0
299,B071D7BTTW,2020-09-26,0
300,B071D7BTTW,2020-09-27,0
301,B071D7BTTW,2020-09-28,1
302,B071D7BTTW,2020-09-29,1
303,B071D7BTTW,2020-09-30,1
304,B071D7BTTW,2020-10-01,2
305,B071D7BTTW,2020-10-02,0
306,B071D7BTTW,2020-10-03,1
307,B071D7BTTW,2020-10-04,3
308,B071D7BTTW,2020-10-05,2
309,B071D7BTTW,2020-10-06,0
310,B071D7BTTW,2020-10-07,1
311,B071D7BTTW,2020-10-08,2
312,B071D7BTTW,2020-10-09,1
313,B071D7BTTW,2020-10-10,2
314,B071D7BTTW,2020-10-11,0
315,B071D7BTTW,2020-10-12,0
316,B071D7BTTW,2020-10-13,3
317,B071D7BTTW,2020-10-14,1
318,B071D7BTTW,2020-10-15,1
319,B071D7BTTW,2020-10-16,0
320,B071D7BTTW,2020-10-17,2
321,B071D7BTTW,2020-10-18,0
322,B071D7BTTW,2020-10-19,1
323,B071D7BTTW,2020-10-20,-1
324,B071D7BTTW,2020-10-21,1
325,B071D7BTTW,2020-10-22,0
326,B071D7BTTW,2020-10-23,0
327,B071D7BTTW,2020-10-24,2
328,B071D7BTTW,2020-10-25,0
329,B071D7BTTW,2020-10-26,0
330,B071D7BTTW,2020-10-27,2
331,B071D7BTTW,2020-10-28,1
332,B071D7BTTW,2020-10-29,1
333,B071D7BTTW,2020-10-30,0
334,B071D7BTTW,2020-10-31,0
335,B071D7BTTW,2020-11-01,1
336,B071D7BTTW,2020-11-02,3
337,B071D7BTTW,2020-11-03,3
338,B071D7BTTW,2020-11-04,0
339,B071D7BTTW,2020-11-05,1
340,B071D7BTTW,2020-11-06,3
341,B071D7BTTW,2020-11-07,5
342,B071D7BTTW,2020-11-08,1
343,B071D7BTTW,2020-11-09,0
344,B071D7BTTW,2020-11-10,1
345,B071D7BTTW,2020-11-11,4
346,B071D7BTTW,2020-11-12,2
347,B071D7BTTW,2020-11-13,1
348,B071D7BTTW,2020-11-14,1
349,B071D7BTTW,2020-11-15,1
350,B071D7BTTW,2020-11-16,0
351,B071D7BTTW,2020-11-17,1
352,B071D7BTTW,2020-11-18,0
353,B071D7BTTW,2020-11-19,3
354,B071D7BTTW,2020-11-20,0
355,B071D7BTTW,2020-11-21,0
356,B071D7BTTW,2020-11-22,0
357,B071D7BTTW,2020-11-23,1
358,B071D7BTTW,2020-11-24,0
359,B071D7BTTW,2020-11-25,0
360,B071D7BTTW,2020-11-26,2
361,B071D7BTTW,2020-11-27,3
362,B071D7BTTW,2020-11-28,2
363,B071D7BTTW,2020-11-29,1
364,B071D7BTTW,2020-11-30,3
365,B071D7BTTW,2020-12-01,1
366,B071D7BTTW,2020-12-02,2
367,B071D7BTTW,2020-12-03,7
368,B071D7BTTW,2020-12-04,3
369,B071D7BTTW,2020-12-05,2
370,B071D7BTTW,2020-12-06,5
371,B071D7BTTW,2020-12-07,6
372,B071D7BTTW,2020-12-08,4
373,B071D7BTTW,2020-12-09,1
374,B071D7BTTW,2020-12-10,1
375,B071D7BTTW,2020-12-11,0
376,B071D7BTTW,2020-12-12,1
377,B071D7BTTW,2020-12-13,1
378,B071D7BTTW,2020-12-14,2
379,B071D7BTTW,2020-12-15,2
380,B071D7BTTW,2020-12-16,1
381,B071D7BTTW,2020-12-17,0
382,B071D7BTTW,2020-12-18,0
383,B071D7BTTW,2020-12-19,0
384,B071D7BTTW,2020-12-20,1
385,B071D7BTTW,2020-12-21,1
386,B071D7BTTW,2020-12-22,0
387,B071D7BTTW,2020-12-23,0
388,B071D7BTTW,2020-12-24,1
389,B071D7BTTW,2020-12-25,0
390,B071D7BTTW,2020-12-26,0
391,B071D7BTTW,2020-12-27,1
392,B071D7BTTW,2020-12-28,0
393,B071D7BTTW,2020-12-29,0
394,B071D7BTTW,2020-12-30,1
395,B071D7BTTW,2020-12-31,2
396,B071D7BTTW,2021-01-01,1
397,B071D7BTTW,2021-01-02,0
398,B071D7BTTW,2021-01-03,1
399,B071D7BTTW,2021-01-04,2
400,B071D7BTTW,2021-01-05,0
